2020-06-13/08:45:04		Start of Validation on files for prediction!!
2020-06-13/08:45:12		Raw Data Validation Complete!!
2020-06-13/08:45:36		Creating Training_Database and tables on the basis of given schema!!!
2020-06-13/08:45:37		Table creation Completed!!
2020-06-13/08:45:37		Insertion of Data into Table started!!!!
2020-06-13/10:29:45		Insertion in Table completed!!!
2020-06-13/10:29:45		Deleting Good Data Folder!!!
2020-06-13/10:29:45		Good_Data folder deleted!!!
2020-06-13/10:29:45		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-06-13/10:29:45		Bad files moved to archive!! Bad folder Deleted!!
2020-06-13/10:29:45		Validation Operation completed!!
2020-06-13/10:29:45		Extracting csv file from table
